ID,Product_Type,HTS,Company,Address,City,State,ZIP,Percent,Total_Amount,Quantity_1,Quantity_2,Quantity_3,Quantity_4,Quantity_5,Origin_1,Origin_2,Origin_3,Origin_4,Origin_5,Exporter_1,Exporter_2,Exporter_3,Exporter_4,Exporter_5,District,Abbreviation,Code,Approved,Denied_Incomplete,Denied_Country,Denied_Production,Pending,Denied,Posted_Date,Received_Date,Total_Exclusions,Total_Approved,Total_Denied,Total_Pending,Objections,Total_Objections,Total_Firms
BIS-2018-0002-0005,Rods,7605110030,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.8,8400000,8400000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,1,0,0,0,1,3/29/18,3/26/18,120,3,96,21,2,160,2
BIS-2018-0002-0006,Rods,7605110030,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.8,6000000,6000000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,1,0,0,0,1,3/29/18,3/26/18,120,3,96,21,2,160,2
BIS-2018-0002-0007,Rods,7605110030,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.8,4000000,4000000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,1,0,0,0,1,3/29/18,3/23/18,120,3,96,21,2,160,2
BIS-2018-0002-0008,Foil,7607196000,"Winter-Wolff International, Inc.",999 South Oyster Bay Road Suite 418,Bethpage,New York,11050,1,700000,750000,-999,-999,-999,-999,Switzerland,N/A,N/A,N/A,N/A,Switzerland,N/A,N/A,N/A,N/A,03,NY,NY-03,0,1,0,0,0,1,4/3/18,3/26/18,20,9,5,6,1,24,3
BIS-2018-0002-0011,Bars,7601106000,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.33,2400000,2400000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,0,0,1,0,1,4/5/18,3/28/18,120,3,96,21,1,160,2
BIS-2018-0002-0012,Bars,7601106000,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.33,5000000,5000000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,0,0,1,0,1,4/5/18,3/28/18,120,3,96,21,1,160,2
BIS-2018-0002-0013,Bars,7601106000,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.33,5000000,5000000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,0,0,1,0,1,4/5/18,3/28/18,120,3,96,21,1,160,2
BIS-2018-0002-0014,Bars,7601106000,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.33,500000,500000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,1,0,0,0,1,4/5/18,3/28/18,120,3,96,21,1,160,2
BIS-2018-0002-0015,Bars,7601106000,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.33,10000000,10000000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,1,0,0,0,1,4/5/18,3/28/18,120,3,96,21,1,160,2
BIS-2018-0002-0016,Sow,7601106000,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.33,5000000,5000000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,0,0,1,0,1,4/5/18,3/28/18,120,3,96,21,1,160,2
BIS-2018-0002-0017,Bars,7601106000,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.33,5000000,5000000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,1,0,0,0,1,4/5/18,3/28/18,120,3,96,21,1,160,2
BIS-2018-0002-0018,Bars,7601106000,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.33,6000000,6000000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,1,0,0,0,1,4/5/18,3/28/18,120,3,96,21,1,160,2
BIS-2018-0002-0019,Foil,7607205000,"Alumanate, LLC",1513 SOUTH GRAND AVE,SANTA ANA,California,92705,1,5000,2400000,-999,-999,-999,-999,China,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,46,CA,CA-46,0,1,0,0,0,1,4/5/18,3/28/18,2,1,1,0,1,2,2
BIS-2018-0002-0020,Plate,7606123030,Mandel Metals Incorporated,11400 Addison Avenue,Franklin Park,Illinois,60517,1,100000,-999,-999,-999,-999,-999,Austria,China,South Africa,Switzerland,Russia,N/A,N/A,N/A,N/A,N/A,05,IL,IL-05,1,0,0,0,0,0,4/5/18,3/27/18,1252,666,0,586,1,1448,3
BIS-2018-0002-0021,Bars,7601106000,Rusal America Corporation,"800 Westchester Avenue, S-308",Rye Brook,New York,10573,0.82,65000000,65000000,-999,-999,-999,-999,Russia,N/A,N/A,N/A,N/A,Russia,N/A,N/A,N/A,N/A,17,NY,NY-17,0,1,0,0,0,1,4/5/18,3/28/18,120,3,96,21,1,160,2
